# =====================================================================
# data/herbicides.csv — Populated from IPM-0028A (2026), Table 1.
# Cross-referenced with Table 4 for grazing/hay/slaughter waiting periods.
#
# Field semantics:
#   forage_type:
#       bermuda_est | perennial_grass | sorghum | legume |
#       fescue_conv | dormant_bermuda | pasture_renovation | winter_grain
#   application_type:        PRE | POST | PPI
#   legume_sensitivity:      KILLS | INJURES_RECOVERS | SAFE | UNKNOWN
#   *_days fields:           integer days, OR "next_season", OR "unknown"
#   slaughter_withdrawal_days: integer days, OR "none", OR "unknown"
#   product_mow_wait_*_days: integer days, OR "none"
#
# Where the guide is silent on a field, the value is "unknown" — this
# routes the product to MANUAL_REVIEW when that gate is exercised.
# Lines starting with # are ignored.
# =====================================================================
unique_id,trade_name,active_ingredient,forage_type,application_type,rate_per_acre,timing_constraints,RUP_flag,lactating_dairy_days,beef_grazing_days,hay_phi_days,slaughter_withdrawal_days,legume_sensitivity,off_farm_hay_restricted,off_farm_manure_restricted,volatilization_risk,product_mow_wait_before_days,product_mow_wait_after_days,comments_structured,guide_page_ref
IPM-022,MezaVue,aminopyralid + picloram + fluroxypyr,perennial_grass,POST,18-32 fl oz,Postemergence while weeds are actively growing. Apply to brush after full leaf expansion,false,14,0,7,unknown,KILLS,true,true,false,none,none,Hay treated within preceding 18 months may only be used on the farm where product was applied. Legumes such as clover and alfalfa are highly sensitive,Table 1 p.8
IPM-023,NovaGraz,"2,4-D + florpyrauxifen-benzyl",perennial_grass,POST,24-48 fl oz,Best suited for cool season broadleaf weeds. Apply when weeds are actively growing,false,3,0,14,3,INJURES_RECOVERS,false,false,false,none,none,Used to control broadleaf weeds in grass pastures mixed with established perennial white clover and lespedeza. White clover and lespedeza will exhibit some injury but will recover. Will kill red clover,Table 1 p.8
IPM-024,Outrider,sulfosulfuron,perennial_grass,POST,1.33 fl oz,Apply when johnsongrass is actively growing and is at least 18 to 24 inches tall up to heading stage,false,0,0,14,none,UNKNOWN,false,false,false,14,14,May be used on bermudagrass and bahiagrass. For best weed control do not mow or harvest the pasture for 2 weeks before or 2 weeks after application,Table 1 p.8
IPM-025,Pastora,nicosulfuron + metsulfuron,perennial_grass,POST,1-1.5 oz,Apply within 7 days of hay cutting when broadleaf weeds are less than 4 inches tall and grasses are less than 2 inches tall,false,0,0,0,0,UNKNOWN,false,false,false,none,none,Labeled in bermudagrass only. Do not make more than 2 applications per year. Allow at least 16 days between applications,Table 1 p.9
IPM-026,Pasturegard HL,triclopyr + fluroxypyr,perennial_grass,POST,1-4 pt,Apply to annual weeds when small and actively growing,false,next_season,0,14,3,KILLS,false,false,true,none,none,Do NOT use on legumes. Do not allow lactating dairy animals to graze treated areas until the next growing season,Table 1 p.9
IPM-027,Remedy Ultra,triclopyr,perennial_grass,POST,2-4 pt,Apply to annual weeds when small and actively growing and to woody vegetation when plants are in full leaf,false,next_season,0,14,3,UNKNOWN,false,false,true,none,none,Do not allow lactating dairy animals to graze treated areas until the next growing season,Table 1 p.9
IPM-028,Telar XP,chlorsulfuron,perennial_grass,POST,0.25-1.33 oz,Apply to young actively growing annual weeds while perennial weeds are in bud to bloom or when biennials are in fall rosette,false,0,0,0,none,KILLS,false,false,false,none,none,Do not exceed 1.3 oz per acre per season. Desirable broadleaf crops like clover and alfalfa are sensitive and severe injury may occur. Rates higher than 0.5 oz per acre may injure fescue,Table 1 p.9
IPM-029,Various (5.5 lb/gal),glyphosate,perennial_grass,POST,8-11 fl oz,Apply immediately after first bermudagrass hay cutting before new growth has started,false,7,7,7,none,KILLS,false,false,false,none,none,Broadcast application during growing season may cause growth stunting and yellowing. Spot treatment should not exceed 10 percent of the total pasture,Table 1 p.9
IPM-030,Sandea,halosulfuron-methyl,perennial_grass,POST,0.66-1.33 oz,Apply when weeds are small and actively growing. Apply as soon as possible after the removal of hay,false,0,0,37,0,UNKNOWN,false,false,false,none,none,Do not apply more than 2 applications or exceed 1.33 oz per acre in a 12-month period,Table 1 p.10
IPM-031,Sharpen,saflufenacil,perennial_grass,POST,1-2 oz,Apply when weeds are small and actively growing,false,0,0,0,none,UNKNOWN,false,false,false,none,none,In-season applications will damage bahiagrass. Dormant-season applications are allowed for burndown,Table 1 p.10
IPM-032,Surmount,picloram + fluroxypyr,perennial_grass,POST,1.5-6 pt,Apply to annual weeds when small and actively growing and to woody vegetation when plants are in full leaf,true,next_season,0,14,3,KILLS,true,true,false,none,none,Restricted Use Pesticide. Do NOT use treated grass or manure from animals being fed treated grass for composting,Table 1 p.10
IPM-033,Velpar DF,hexazinone,perennial_grass,POST,0.9-1.5 lb,Apply one time per year when weeds are actively growing,false,0,0,38,none,UNKNOWN,false,false,false,none,none,Labeled in bermudagrass and bahiagrass only. Treated forage grasses may not be fed for hay until 38 days after application,Table 1 p.10
IPM-034,Velpar L,hexazinone,perennial_grass,POST,2.75-4.5 pt,Apply one time per year when weeds are actively growing,false,0,0,38,none,UNKNOWN,false,false,false,none,none,Labeled in bermudagrass and bahiagrass only. Liquid form of Velpar DF,Table 1 p.10
IPM-035,"Various 2,4-D + dicamba","2,4-D + dicamba",perennial_grass,POST,2-4 pt,Apply after bermudagrass is planted but before germinating weeds reach 1 inch in height,false,7,0,7,30,KILLS,false,false,true,none,none,Do not spray on legumes. Use NIS at 0.25 percent v/v,Table 1 p.10
IPM-036,"Impose, Plateau",imazapic,bermuda_est,POST,6-12 fl oz,Apply when there is no green tissue at the root crown or on stolons,false,0,0,7,0,UNKNOWN,false,false,false,none,none,Add 10 to 20 gallons per acre of liquid nitrogen as the spray carrier,Table 1 p.11
IPM-037,Pastora,nicosulfuron + metsulfuron,bermuda_est,POST,1-1.5 oz,Apply targeting winter and early season weeds during dormancy,false,0,0,0,0,UNKNOWN,false,false,false,none,none,Labeled in bermudagrass only. Do not make more than 2 applications per year,Table 1 p.11
IPM-038,Various (60% metsulfuron methyl),metsulfuron methyl,bermuda_est,POST,0.1-0.4 oz,Apply to actively growing weeds. For bahiagrass control use 0.3 oz after green-up and before seedhead formation,false,0,0,0,none,KILLS,false,false,false,none,none,Will damage fescue at rates above 0.4 oz. Following applications at 0.1-0.3 oz alfalfa clovers bermudagrass ryegrass and tall fescue may be planted after 4 months,Table 1 p.11
IPM-039,Gramoxone SL,paraquat,dormant_bermuda,POST,0.7-1.3 pt,Apply when bermudagrass is dormant,true,0,0,40,none,UNKNOWN,false,false,false,none,none,Restricted Use Pesticide. NIS at 0.25 percent v/v or COC at 0.5 percent v/v required,Table 1 p.11
IPM-040,Various (5.5 lb/gal),glyphosate,dormant_bermuda,POST,8-11 fl oz,Apply to actively growing winter broadleaf weeds and grasses along with weedy infestations of dallisgrass,false,7,7,7,none,KILLS,false,false,false,none,none,Spot treatment should not exceed 10 percent of the total pasture. Significant injury may occur to forage grass with green living tissue present,Table 1 p.11
IPM-041,"2,4-D Amine","2,4-D",sorghum,POST,0.5-1 pt,Apply over the top when weeds are small and when sorghum plants are 4 to 6 inches tall,false,14,7,30,7,KILLS,false,false,false,none,none,DO NOT spray over-the-top when sorghum plants are less than 4 inches tall or more than 10 inches tall,Table 1 p.12
IPM-042,Atrazine 90WDG,atrazine,sorghum,POST,2.2 lb,Apply after sorghum has emerged but before weeds are 1.5 inches tall,true,21,21,21,none,UNKNOWN,false,false,false,none,none,Restricted Use Pesticide. Do Not use on sandy loams or coarser soil textures,Table 1 p.12
IPM-043,Atrazine 4L,atrazine,sorghum,POST,2 qt,Apply after sorghum has emerged but before weeds are 1.5 inches tall,true,21,21,21,none,UNKNOWN,false,false,false,none,none,Restricted Use Pesticide. Do Not use on sandy loams or coarser soil textures,Table 1 p.12
IPM-044,Gramoxone SL/generics,paraquat,fescue_conv,POST,1-2 pt fb 1-2 pt,Apply in split-applications 10-21 days apart when fescue is actively growing and no more than 4 inches high,true,0,0,60,none,UNKNOWN,false,false,false,none,none,Restricted Use Pesticide. Controls endophyte-infected fescue. Control will be better if fescue is not allowed to seed the previous year,Table 1 p.12
IPM-045,"Poast Plus, Poast",sethoxydim,fescue_conv,POST,1.0-1.25 pt,Apply to actively growing tall fescue after it has 4 to 6 inches of new growth and before the seedhead has emerged,false,0,0,30,none,UNKNOWN,false,false,false,30,14,DO NOT mow tall fescue for 30 days before or 14 days after treatment. For greater suppression apply up to 2.5 pt per acre,Table 1 p.12
IPM-046,Various (5.5 lb/gal),glyphosate,fescue_conv,POST,32 fl oz,Apply with 1 qt followed by 1 qt after regrowth occurs again,false,7,7,7,none,KILLS,false,false,false,none,none,Endophyte infected fescue as well as other grasses. Do not allow plants to reproduce seed,Table 1 p.12
IPM-047,Gramoxone SL,paraquat,pasture_renovation,POST,1-2 pt,Apply when bermudagrass is dormant. For little barley control apply before the mid-boot stage,true,0,0,40,none,UNKNOWN,false,false,false,none,none,Restricted Use Pesticide. NIS at 0.25 percent v/v or COC at 0.5 percent v/v required,Table 1 p.13
IPM-048,"2,4-D Amine","2,4-D",winter_grain,POST,0.5-2 pt,Apply when grain is in full tiller stage but before boot stage,false,14,7,14,7,KILLS,false,false,false,none,none,"Limited to one POST application per cycle. Be aware of drift concerns and laws in your area affecting 2,4-D",Table 1 p.13
IPM-049,Eptam 7E,EPTC,legume,PPI,2.25-4.5 pt,Apply and incorporate just before planting,false,45,45,45,none,SAFE,false,false,false,none,none,Can be applied on alfalfa birdsfoot trefoil lespedeza. DO NOT use on white dutch clover. Established stands of alfalfa ladino clover can be sprayed 2.5-3.5 pt prior to weed emergence,Table 1 p.13
IPM-050,Gramoxone SL,paraquat,legume,POST,1.0-2.0 pt,Apply on established plantings during the dormant season during late fall or winter months after the last fall cutting and before first spring cutting,true,0,0,60,none,SAFE,false,false,false,none,none,Restricted Use Pesticide. Apply only during dormant season,Table 1 p.13
IPM-051,Kerb 50-W,pronamide,legume,POST,1.0-4.0 lb,Apply during the fall or winter months. For best control apply under cool temperature conditions 55-60F,true,120,120,120,unknown,SAFE,false,false,false,none,none,Restricted Use Pesticide. May be applied both PRE and POST. PHI for grazing and haying is 120 days. PHI for harvest seed is 50 days,Table 1 p.14
IPM-052,Pursuit,imazethapyr,legume,POST,3-6 oz,Apply when alfalfa or clover is in second trifoliate stage or larger and when weeds are 1-3 inches tall,false,unknown,unknown,unknown,unknown,SAFE,false,false,false,none,none,Labeled for use on alfalfa birdsfoot trefoil and clover. May be applied to seedling alfalfa or clover,Table 1 p.14
IPM-053,"Select Max, generics",clethodim,legume,POST,9-32 fl oz,Apply to seedling or established alfalfa,false,0,0,15,none,SAFE,false,false,false,none,none,For repeat applications make on a minimum of a 14 day interval,Table 1 p.14
IPM-054,"Poast Plus, Poast",sethoxydim,legume,POST,1.5-3.75 pt,Apply before mowing for best control,false,7,7,20,none,SAFE,false,false,false,none,none,Annual grasses only. Always add a COC at 0.5 percent v/v,Table 1 p.14
